headline,url
Gustavo Petro: ‘Trump does not give a damn about Latin Americans’,https://english.elpais.com
ICE jacket becomes a best-seller on Amazon: ‘Wear this and watch illegals run’,https://english.elpais.com/usa/2025-02-26/ice-jacket-becomes-a-best-seller-on-amazon-if-you-want-some-entertainment-wear-this-and-watch-illegals-run-away.html
Trump’s iron fist crushes number of daily illegal migrant crossings,https://english.elpais.com/usa/2025-02-26/trumps-iron-fist-crushes-number-of-daily-illegal-migrant-crossings.html
War on diversity returns to the US Supreme Court,https://english.elpais.com/usa/2025-02-26/discriminated-against-for-being-heterosexual-the-war-on-diversity-returns-to-the-us-supreme-court.html
"Kois, neighborhood activist: ‘There is a movement in the US to have backyard chickens’",https://english.elpais.com/climate/2025-02-26/kois-neighborhood-activist-there-is-a-movement-in-the-us-to-have-chickens-in-backyards.html
"Over $200,000 in gifts: Swag bag for Oscar nominees includes trips, genetic tests, marijuana",https://english.elpais.com/culture/2025-02-26/over-200000-in-gifts-swag-bag-for-oscar-nominees-includes-trips-genetic-tests-and-marijuana.html
"David Glowacki, physicist: ‘The idea of living for 500 years scares me more than death’",https://english.elpais.com/science-tech/2025-02-26/david-glowacki-physicist-the-idea-of-living-for-500-years-scares-me-more-than-death.html
US egg producers see profits soar as bird flu crisis rages ,https://english.elpais.com/economy-and-business/2025-02-25/us-egg-producers-see-profits-soar-as-bird-flu-crisis-rages.html
Man buries nephew alive in act of witchcraft in Peruvian jungle,https://english.elpais.com/international/2025-02-26/man-buries-nephew-alive-in-an-act-of-witchcraft-in-peruvian-jungle.html
Twenty-one federal staffers resign in protest against DOGE and Elon Musk,https://english.elpais.com/usa/2025-02-25/twenty-one-doge-staffers-resign-in-protest-against-elon-musk.html
Sheinbaum’s dilemma after ‘El Mayo’ Zambada’s latest letter: intervene or placate Trump,https://english.elpais.com/international/2025-02-25/sheinbaums-dilemma-after-el-mayo-zambadas-latest-letter-intervene-or-placate-trump.html
The popularity of the ‘Mar-a-Lago face’ soars in Trump’s inner circle,https://english.elpais.com/lifestyle/2025-02-24/the-popularity-of-the-mar-a-lago-face-soars-in-trumps-inner-circle.html
Europeans and Asians embrace illegal jaguar hunting in Bolivia,https://english.elpais.com
Not just ships: The expansion of the Panama Canal also facilitates the transit of invasive fish,https://english.elpais.com/science-tech/2025-02-24/not-just-ships-the-expansion-of-the-panama-canal-also-facilitates-the-transit-of-invasive-fish.html
,https://english.elpais.com
Jocelynn took her own life after being harassed at school because of her family’s immigration status: ‘Why was I left without my princess?’,https://english.elpais.com/usa/2025-02-24/jocelynn-took-her-own-life-after-being-harassed-at-school-because-of-her-familys-immigration-status-why-was-i-left-without-my-princess.html
"Maram Kairé, Senegalese astronomer: ‘The development of the African continent will depend on the space sector’",https://english.elpais.com/science-tech/2025-02-22/maram-kaire-senegalese-astronomer-the-development-of-the-african-continent-will-depend-on-the-space-sector.html
,https://english.elpais.com
,https://english.elpais.com
"Designed by men, for men: Why sex with robots does not have appeal among women",https://english.elpais.com/technology/2025-02-23/designed-by-men-for-men-why-sex-with-robots-does-not-have-appeal-among-women.html
"Wrestling, cannabis, bitcoin and stocks: This is how Trump’s government of billionaires invests",https://english.elpais.com/economy-and-business/2025-02-15/wrestling-cannabis-bitcoin-and-stocks-this-is-how-trumps-government-of-billionaires-invests.html
A coffee for $3.50: Argentina is the most expensive country in Latin America,https://english.elpais.com/economy-and-business/2025-02-11/a-coffee-for-350-argentina-is-the-most-expensive-country-in-latin-america.html
,https://english.elpais.com
,https://english.elpais.com
"Tiny Desk, what a concept: Fifteen performances that will ignite your love of music",https://english.elpais.com
Underground fights and female thieves: New series from the creator of ‘Peaky Blinders’ delves into London’s underworld,https://english.elpais.com
,https://english.elpais.com
Patrick Dempsey: ‘Dyslexia was a lesson in humility that saved me from the temptation to believe I was better than anyone else’,https://english.elpais.com/culture/2025-02-19/patrick-dempsey-dyslexia-was-a-lesson-in-humility-that-saved-me-from-the-temptation-to-believe-i-was-better-than-anyone-else.html
"For the first time, Prado Museum brings together eight works by El Greco from around the world",https://english.elpais.com/culture/2025-02-18/for-the-first-time-prado-museum-brings-together-eight-works-by-el-greco-from-around-the-world.html
Dexter’s father: How to raise a psychopath ,https://english.elpais.com/culture/2025-02-16/dexters-father-how-to-raise-a-psychopath.html
,https://english.elpais.com
"The ‘Huberman husbands’ phenomenon sweeping the US: Protein, diet, exercise and the far right",https://english.elpais.com/lifestyle/2025-02-11/the-huberman-husbands-phenomenon-sweeping-the-us-protein-diet-exercise-and-the-far-right.html
"Wasting time, no social media, having kids and knowing the hidden spots: The true luxuries of the super-rich in 2025",https://english.elpais.com
"Even if they won’t admit it, parents do indeed have a favorite child ",https://english.elpais.com/health/2025-02-23/even-if-they-wont-admit-it-parents-do-indeed-have-a-favorite-child.html
,https://english.elpais.com
"Jacques Audiard, director of ‘Emilia Pérez’, distances himself from Karla Sofía Gascón: ‘What she said is inexcusable’",https://english.elpais.com/culture/2025-02-05/jacques-audiard-director-of-emilia-perez-distances-himself-from-karla-sofia-gascon-what-she-said-is-inexcusable.html
"The second youth of Lindsey Buckingham, Fleetwood Mac’s sonic architect",https://english.elpais.com/culture/2025-02-15/the-second-youth-of-lindsey-buckingham-fleetwood-macs-sonic-architect.html
News of a stagnant war in Sinaloa,https://english.elpais.com/international/2025-02-17/news-of-a-stagnant-war-in-sinaloa.html
,https://english.elpais.com
,https://english.elpais.com
Putin’s opposition in exile shows signs of weakness a year after Alexei Navalny’s death,https://english.elpais.com/international/2025-02-18/putins-opposition-in-exile-shows-signs-of-weakness-a-year-after-alexei-navalnys-death.html
Listen now LOS40 USA,https://los40.us/
Michelle Trachtenberg from ‘Gossip Girl’ and ‘Buffy The Vampire Slayer’ Dead at 39: What Happened?,https://los40.us/2025/michelle-trachtenberg-from-gossip-girl-and-buffy-the-vampire-slayer-dead-at-39-what-happened-30197.html
"Jennifer Lopez Breaks Silence After Jesús Guerrero’s Death, Faces Backlash",https://los40.us/2025/jennifer-lopez-breaks-silence-after-jesus-guerreros-death-faces-backlash-30154.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html
‘A legal black box’: Trump uses treatment reserved for terrorists on migrants sent to Guantánamo,https://english.elpais.com/international/2025-02-13/a-legal-black-box-trump-uses-treatment-reserved-for-terrorists-on-migrants-sent-to-guantanamo.html
"Migrants in Chicago after Trump raids: ‘We will continue working, but we are afraid’",https://english.elpais.com/usa/2025-02-03/migrants-in-chicago-after-trump-raids-we-will-continue-working-but-we-are-afraid.html
Dismantling of USAID will impact women more intensely,https://english.elpais.com/international/2025-02-12/dismantling-of-usaid-will-impact-women-more-intensely.html
Mission in Nigeria: Protecting the pangolin,https://english.elpais.com/international/2025-02-02/mission-in-nigeria-protecting-the-pangolin.html
‘What I need the most are AK-47s’: How the United States floods Mexico with weapons  ,https://english.elpais.com/international/2025-02-12/what-i-need-the-most-are-ak-47s-how-the-united-states-floods-mexico-with-weapons.html
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com/economy-and-business/2025-02-03/mexico-us-relationship-faces-the-worst-bilateral-crisis-in-decades.html
Latin America draws up a future of accelerated sustainable economic growth with equity,https://english.elpais.com/economy-and-business/2025-01-30/latin-america-draws-up-a-future-of-accelerated-economic-growth-with-equity.html
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
"Rafael López, oncologist: ‘With a blood test we expect to be able to identify the weaknesses of almost all tumors’",https://english.elpais.com/health/2025-02-21/rafael-lopez-oncologist-with-a-blood-test-we-expect-to-be-able-to-identify-the-weaknesses-of-almost-all-tumors.html
"Ramón Bataller, hepatologist: ‘The combination of alcohol and cocaine is explosive and many young people are paying for it’",https://english.elpais.com/health/2025-02-08/ramon-bataller-hepatologist-the-combination-of-alcohol-and-cocaine-is-explosive-and-many-young-people-are-paying-for-it.html
,https://english.elpais.com
My therapist is a bot: The rise of AI in mental health treatment,https://english.elpais.com/technology/2025-01-21/my-therapist-is-a-bot-the-rise-of-ai-in-mental-health-treatment.html
Four wealthy clients to attempt Everest with the help of xenon gas,https://english.elpais.com/sports/2025-01-25/four-wealthy-clients-to-attempt-everest-with-the-help-of-xenon-gas.html
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com/sports/2024-12-22/rwandas-sports-fever-a-pillar-of-development-or-sportswashing.html
